Software_Version,SN,Station_ID,Fixture_ID,Carrier_SN,KB_Type,Key_Number,Key_Name,Location,ERS_Category,Key_Type,Key_Size,Dome_Size,Operator,Test_Start_Time,Test_Stop_Time,Total_Test_Time,Slope_Before_Peak_Force_gf_mm,Peak_Force_gf,Peak_Travel_mm,Return_Peak_Force_gf,Return_Peak_Travel_gf,Hysterisis_g_g,Bottom_Force_gf,Bottom_Travel_mm,Return_Bottom_Force_gf,Return_Bottom_Travel_gf,Force_Drop_gf,Click_Ratio_pct,Slope_After_Peak_Force_gf_mm,Final_Slope_gf_mm,Back_Slope_gf_mm,Make_Force_gf,Make_Point_mm,Make_Pt_pct_Travel_pct,Drop_Stroke_Relative_to_Peak_Travel_gf,Travel_80gf_mm,Travel_160gf_mm,Travel_500_gf_mm,Area_Whole_Downstroke_gf_mm,Off_Force_gf,Off_Point_mm,OnBm_Force_g,On_Resit_ohm,Off_Resist_ohm,Ext_Force_gf_OK_NG,Key_Result_OK_NG,Slope_Before_Peak_Force_gf_mm_OK_NG,Peak_Force_gf_OK_NG,Peak_Travel_mm_OK_NG,Return_Peak_Force_gf_OK_NG,Return_Peak_Travel_gf_OK_NG,Hysterisis_g_g_OK_NG,Bottom_Force_gf_OK_NG,Bottom_Travel_mm_OK_NG,Return_Bottom_Force_gf_OK_NG,Return_Bottom_Travel_gf_OK_NG,Force_Drop_gf_OK_NG,Click_Ratio_pct_OK_NG,Slope_After_Peak_Force_gf_mm_OK_NG,Final_Slope_gf_mm_OK_NG,Back_Slope_gf_mm_OK_NG,Make_Force_gf_OK_NG,Make_Point_mm_OK_NG,Make_Pt_pct_Travel_pct_OK_NG,Drop_Stroke_Relative_to_Peak_Travel_gf_OK_NG,Travel_80gf_mm_OK_NG,Travel_160gf_mm_OK_NG,Travel_500gf_mm_OK_NG,Area_Whole_Downstroke_gf_mm_OK_NG,Off_Force_gf_OK_NG,Off_Point_mm_OK_NG,OnBm_Force_g_OK_NG,On_Resit_ohm_OK_NG,Off_Resist_ohm_OK_NG,Ext_Force_gf_OK_NG_1,Probe Speed,MO,Spec,VisionFlag,MakeErrCode,PF_MF,PF_MF_OK_NG,MT_PT,MT_PT_OK_NG,MakeForce_Return,MakeTravel_Return,MakeThres,MakeInterval,Make600,Make_Code,MF_MFAverage,MF_MFAverage_OKNG,MF_MFAverage_Large,MF_MFAverage_Large_OKNG,MF_MFAverage_Small,MF_MFAverage_Small_OKNG,MF_MFAverage_1x1,MF_MFAverage_1x1_OKNG,160T_PT,160T_PT_OKNG,PF_Hysteresis,PF_Hysteresis_OKNG,BF_Hysteresis,BF_Hysteresis_OKNG
3-0-46_13-2-21,ML240626V2413BS02IRI00990A,IRI_JRS_23,Left,LEFT,X3207,1,ESC,M,,L,1x1.5,Large, ,2024/7/2 1:24,2024/7/2 1:26,93,192.3121,58.874,0.3154, , , ,25.1384,0.6016, , ,33.74,57.3,112.5276,795.3549, , , , ,0.4347,0.7501,0.8747, , , , , , , ,OK,OK,OK,OK,OK, , , ,OK,OK, , ,OK,OK,OK,OK, , , , ,OK,OK,OK, , , , , , , , ,A-10,,Type L center,0, ,-191.126,OK,-0.3154,OK, , ,445,444,600, ,250,OK,250,OK,250,OK,250,OK,0.5593,OK,-191.126,OK,-224.8616,OK
3-0-46_13-2-21,ML240626V2413BS02IRI00990A,IRI_JRS_23,Left,LEFT,X3207,2,F1,M,,L,1x1,Large, ,2024/7/2 1:24,2024/7/2 1:26,93,191.1007,58.9611,0.3177, , , ,25.933,0.601, , ,33.03,56.02,111.2013,810.8383, , , , ,0.4315,0.7492,0.8718, , , , , , , ,0,OK,OK,OK,OK, , , ,OK,OK, , ,OK,OK,OK,OK, , , , ,OK,OK,OK, , , , , , , , ,A-10,,Type L center,0, ,-191.0389,OK,-0.3177,OK, , ,351,350,600, ,250,OK,250,OK,250,OK,250,OK,0.5541,OK,-191.0389,OK,-224.067,OK
3-0-46_13-2-21,ML240626V2413BS02IRI00990A,IRI_JRS_23,Left,LEFT,X3207,3,F2,M,,L,1x1,Large, ,2024/7/2 1:24,2024/7/2 1:26,93,184.224,60.0031,0.3345, , , ,25.0396,0.6104, , ,34.96,58.27,121.0558,794.075, , , , ,0.4268,0.7613,0.886, , , , , , , ,,OK,OK,OK,OK, , , ,OK,OK, , ,OK,OK,OK,OK, , , , ,OK,OK,OK, , , , , , , , ,A-10,,Type L center,0, ,-189.9969,OK,-0.3345,OK, , ,461,460,600, ,250,OK,250,OK,250,OK,250,OK,0.5515,OK,-189.9969,OK,-224.9604,OK
3-0-46_13-2-21,ML240626V2413BS02IRI00990A,IRI_JRS_23,Left,LEFT,X3207,4,F3,M,,L,1x1,Large, ,2024/7/2 1:24,2024/7/2 1:26,93,193.5392,62.4426,0.3319, , , ,26.8476,0.6, , ,35.59,57,126.8474,798.915, , , , ,0.4133,0.7453,0.8694, , , , , , , , ,OK,OK,OK,OK, , , ,OK,OK, , ,OK,OK,OK,OK, , , , ,OK,OK,OK, , , , , , , , ,A-10,,Type L center,0, ,-187.5574,OK,-0.3319,OK, , ,482,481,600, ,250,OK,250,OK,250,OK,250,OK,0.5375,OK,-187.5574,OK,-223.1524,OK
3-0-46_13-2-21,ML240626V2413BS02IRI00990A,IRI_JRS_23,Left,LEFT,X3207,5,F4,M,,L,1x1,Large, ,2024/7/2 1:24,2024/7/2 1:26,93,195.166,60.6389,0.3201, , , ,27.6273,0.5976, , ,33.01,54.44,113.4337,790.4981, , , , ,0.4231,0.7432,0.8684, , , , , , , , ,OK,OK,OK,OK, , , ,OK,OK, , ,OK,OK,OK,OK, , , , ,OK,OK,OK, , , , , , , , ,A-10,,Type L center,0, ,-189.3611,OK,-0.3201,OK, , ,309,308,600, ,250,OK,250,OK,250,OK,250,OK,0.5483,OK,-189.3611,OK,-222.3727,OK
3-0-46_13-2-21,ML240626V2413BS02IRI00990A,IRI_JRS_23,Left,LEFT,X3207,6,F5,M,,L,1x1,Large, ,2024/7/2 1:24,2024/7/2 1:26,93,184.9825,57.2716,0.3184, , , ,24.6405,0.6003, , ,32.63,56.98,110.3569,803.6297, , , , ,0.4331,0.7515,0.8751, , , , , , , , ,OK,OK,OK,OK, , , ,OK,OK, , ,OK,OK,OK,OK, , , , ,OK,OK,OK, , , , , , , , ,A-10,,Type L center,0, ,-192.7284,OK,-0.3184,OK, , ,475,474,600, ,250,OK,250,OK,250,OK,250,OK,0.5567,OK,-192.7284,OK,-225.3595,OK
3-0-46_13-2-21,ML240626V2413BS02IRI00990A,IRI_JRS_23,Left,LEFT,X3207,7,F6,M,,L,1x1,Large, ,2024/7/2 1:24,2024/7/2 1:26,93,195.0357,61.1163,0.3227, , , ,26.4001,0.596, , ,34.72,56.8,121.2993,804.1227, , , , ,0.4196,0.7423,0.8658, , , , , , , , ,OK,OK,OK,OK, , , ,OK,OK, , ,OK,OK,OK,OK, , , , ,OK,OK,OK, , , , , , , , ,A-10,,Type L center,0, ,-188.8837,OK,-0.3227,OK, , ,470,469,600, ,250,OK,250,OK,250,OK,250,OK,0.5431,OK,-188.8837,OK,-223.5999,OK
3-0-46_13-2-21,ML240626V2413BS02IRI00990A,IRI_JRS_23,Left,LEFT,X3207,8,F7,M,,L,1x1,Large, ,2024/7/2 1:24,2024/7/2 1:26,93,187.7099,56.9451,0.3124, , , ,24.5544,0.5962, , ,32.39,56.88,108.7931,807.2178, , , , ,0.4356,0.748,0.8711, , , , , , , , ,OK,OK,OK,OK, , , ,OK,OK, , ,OK,OK,OK,OK, , , , ,OK,OK,OK, , , , , , , , ,A-10,,Type L center,0, ,-193.0549,OK,-0.3124,OK, , ,322,321,600, ,250,OK,250,OK,250,OK,250,OK,0.5587,OK,-193.0549,OK,-225.4456,OK
3-0-46_13-2-21,ML240626V2413BS02IRI00990A,IRI_JRS_23,Left,LEFT,X3207,9,F8,M,,L,1x1,Large, ,2024/7/2 1:24,2024/7/2 1:26,93,185.8193,58.1544,0.3218, , , ,25.4656,0.6036, , ,32.69,56.21,110.5974,803.8453, , , , ,0.4301,0.7519,0.8754, , , , , , , , ,OK,OK,OK,OK, , , ,OK,OK, , ,OK,OK,OK,OK, , , , ,OK,OK,OK, , , , , , , , ,A-10,,Type L center,0, ,-191.8456,OK,-0.3218,OK, , ,463,462,600, ,250,OK,250,OK,250,OK,250,OK,0.5536,OK,-191.8456,OK,-224.5344,OK
3-0-46_13-2-21,ML240626V2413BS02IRI00990A,IRI_JRS_23,Left,LEFT,X3207,10,F9,M,,L,1x1,Large, ,2024/7/2 1:24,2024/7/2 1:26,93,194.6408,60.131,0.3183, , , ,27.0973,0.5958, , ,33.03,54.94,113.5123,796.9871, , , , ,0.4243,0.7426,0.867, , , , , , , , ,OK,OK,OK,OK, , , ,OK,OK, , ,OK,OK,OK,OK, , , , ,OK,OK,OK, , , , , , , , ,A-10,,Type L center,0, ,-189.869,OK,-0.3183,OK, , ,444,443,600, ,250,OK,250,OK,250,OK,250,OK,0.5487,OK,-189.869,OK,-222.9027,OK
