Specification,On2[gf],On2[mm],Barcode
Up Limit,18.0,
Low Limit,6.0,
1-1, 11.7, 0.194,MB250319V2007UKLX5126570J
1-2, 10.0, 0.165,MB250319V2007UKLX5126570J
1-3, 12.0, 0.201,MB250319V2007UKLX5126570J
1-4, 10.8, 0.176,MB250319V2007UKLX5126570J
1-5, 11.0, 0.179,MB250319V2007UKLX5126570J
1-6, 10.1, 0.163,MB250319V2007UKLX5126570J
1-7, 10.1, 0.164,MB250319V2007UKLX5126570J
1-8, 11.3, 0.181,MB250319V2007UKLX5126570J
1-9, 10.8, 0.174,MB250319V2007UKLX5126570J
1-10, 10.6, 0.167,MB250319V2007UKLX5126570J
1-11, 11.0, 0.180,MB250319V2007UKLX5126570J
1-12, 12.0, 0.188,MB250319V2007UKLX5126570J
1-13, 13.0, 0.208,MB250319V2007UKLX5126570J
1-14, 10.8, 0.189,MB250319V2007UKLX5126570J
1-15, 10.8, 0.186,MB250319V2007UKLX5126570J
1-16, 10.6, 0.184,MB250319V2007UKLX5126570J
1-17, 10.4, 0.181,MB250319V2007UKLX5126570J
1-18, 10.2, 0.179,MB250319V2007UKLX5126570J
1-19, 10.2, 0.179,MB250319V2007UKLX5126570J
1-20, 10.7, 0.187,MB250319V2007UKLX5126570J
1-21, 10.6, 0.187,MB250319V2007UKLX5126570J
1-22, 11.1, 0.190,MB250319V2007UKLX5126570J
1-23, 11.6, 0.197,MB250319V2007UKLX5126570J
1-24, 11.6, 0.198,MB250319V2007UKLX5126570J
1-25, 10.9, 0.188,MB250319V2007UKLX5126570J
1-26, 11.2, 0.191,MB250319V2007UKLX5126570J
1-27, 12.3, 0.214,MB250319V2007UKLX5126570J
1-28, 9.9, 0.173,MB250319V2007UKLX5126570J
1-29, 11.6, 0.200,MB250319V2007UKLX5126570J
1-30, 11.0, 0.191,MB250319V2007UKLX5126570J
1-31, 11.4, 0.194,MB250319V2007UKLX5126570J
1-32, 11.3, 0.194,MB250319V2007UKLX5126570J
1-33, 10.4, 0.176,MB250319V2007UKLX5126570J
1-34, 11.4, 0.203,MB250319V2007UKLX5126570J
1-35, 10.3, 0.177,MB250319V2007UKLX5126570J
1-36, 10.3, 0.178,MB250319V2007UKLX5126570J
1-37, 10.8, 0.185,MB250319V2007UKLX5126570J
1-38, 10.4, 0.177,MB250319V2007UKLX5126570J
1-39, 9.8, 0.171,MB250319V2007UKLX5126570J
1-40, 11.5, 0.196,MB250319V2007UKLX5126570J
1-41, 11.1, 0.192,MB250319V2007UKLX5126570J
1-42, 10.9, 0.191,MB250319V2007UKLX5126570J
1-43, 11.5, 0.204,MB250319V2007UKLX5126570J
1-44, 11.0, 0.197,MB250319V2007UKLX5126570J
1-45, 10.9, 0.189,MB250319V2007UKLX5126570J
1-46, 10.8, 0.187,MB250319V2007UKLX5126570J
1-47, 11.7, 0.205,MB250319V2007UKLX5126570J
1-48, 10.3, 0.178,MB250319V2007UKLX5126570J
1-49, 10.7, 0.186,MB250319V2007UKLX5126570J
1-50, 9.9, 0.170,MB250319V2007UKLX5126570J
1-51, 9.9, 0.171,MB250319V2007UKLX5126570J
1-52, 11.2, 0.199,MB250319V2007UKLX5126570J
1-53, 9.6, 0.167,MB250319V2007UKLX5126570J
1-54, 9.5, 0.170,MB250319V2007UKLX5126570J
1-55, 11.1, 0.198,MB250319V2007UKLX5126570J
1-56, 11.4, 0.197,MB250319V2007UKLX5126570J
1-57, 11.6, 0.207,MB250319V2007UKLX5126570J
1-58, 13.0, 0.253,MB250319V2007UKLX5126570J
1-59, 10.9, 0.190,MB250319V2007UKLX5126570J
1-60, 11.1, 0.196,MB250319V2007UKLX5126570J
1-61, 11.2, 0.196,MB250319V2007UKLX5126570J
1-62, 11.9, 0.208,MB250319V2007UKLX5126570J
1-63, 10.3, 0.179,MB250319V2007UKLX5126570J
1-64, 11.1, 0.192,MB250319V2007UKLX5126570J
1-65, 10.0, 0.171,MB250319V2007UKLX5126570J
1-66, 10.0, 0.172,MB250319V2007UKLX5126570J
1-67, 9.9, 0.170,MB250319V2007UKLX5126570J
1-68, 11.5, 0.198,MB250319V2007UKLX5126570J
1-69, 10.5, 0.191,MB250319V2007UKLX5126570J
1-70, 11.5, 0.205,MB250319V2007UKLX5126570J
1-71, 11.7, 0.199,MB250319V2007UKLX5126570J
1-72, 10.0, 0.169,MB250319V2007UKLX5126570J
1-73, 10.0, 0.172,MB250319V2007UKLX5126570J
1-74, 10.4, 0.178,MB250319V2007UKLX5126570J
1-75, 12.3, 0.196,MB250319V2007UKLX5126570J
1-76, 10.6, 0.172,MB250319V2007UKLX5126570J
1-77, 10.0, 0.170,MB250319V2007UKLX5126570J
1-78, 9.9, 0.162,MB250319V2007UKLX5126570J
2-1, 9.1, 0.156,MB250319V2007UKLX5113120J
2-2, 9.1, 0.151,MB250319V2007UKLX5113120J
2-3, 9.5, 0.157,MB250319V2007UKLX5113120J
2-4, 9.3, 0.148,MB250319V2007UKLX5113120J
2-5, 9.5, 0.157,MB250319V2007UKLX5113120J
2-6, 10.0, 0.164,MB250319V2007UKLX5113120J
2-7, 9.1, 0.151,MB250319V2007UKLX5113120J
2-8, 10.0, 0.162,MB250319V2007UKLX5113120J
2-9, 9.7, 0.155,MB250319V2007UKLX5113120J
2-10, 9.3, 0.155,MB250319V2007UKLX5113120J
2-11, 10.3, 0.166,MB250319V2007UKLX5113120J
2-12, 11.9, 0.187,MB250319V2007UKLX5113120J
2-13, 11.9, 0.189,MB250319V2007UKLX5113120J
2-14, 8.7, 0.152,MB250319V2007UKLX5113120J
2-15, 8.8, 0.150,MB250319V2007UKLX5113120J
2-16, 8.4, 0.143,MB250319V2007UKLX5113120J
2-17, 10.1, 0.176,MB250319V2007UKLX5113120J
2-18, 8.4, 0.146,MB250319V2007UKLX5113120J
2-19, 9.9, 0.170,MB250319V2007UKLX5113120J
2-20, 9.1, 0.157,MB250319V2007UKLX5113120J
2-21, 9.9, 0.176,MB250319V2007UKLX5113120J
2-22, 9.6, 0.166,MB250319V2007UKLX5113120J
2-23, 11.1, 0.192,MB250319V2007UKLX5113120J
2-24, 10.3, 0.174,MB250319V2007UKLX5113120J
2-25, 10.4, 0.181,MB250319V2007UKLX5113120J
2-26, 7.1, 0.123,MB250319V2007UKLX5113120J
2-27, 11.1, 0.189,MB250319V2007UKLX5113120J
2-28, 8.8, 0.151,MB250319V2007UKLX5113120J
2-29, 10.9, 0.188,MB250319V2007UKLX5113120J
2-30, 10.0, 0.175,MB250319V2007UKLX5113120J
2-31, 10.4, 0.181,MB250319V2007UKLX5113120J
2-32, 10.4, 0.178,MB250319V2007UKLX5113120J
2-33, 9.9, 0.170,MB250319V2007UKLX5113120J
2-34, 9.4, 0.160,MB250319V2007UKLX5113120J
2-35, 10.3, 0.180,MB250319V2007UKLX5113120J
2-36, 8.6, 0.146,MB250319V2007UKLX5113120J
2-37, 9.3, 0.161,MB250319V2007UKLX5113120J
2-38, 9.4, 0.161,MB250319V2007UKLX5113120J
2-39, 8.9, 0.157,MB250319V2007UKLX5113120J
2-40, 8.2, 0.139,MB250319V2007UKLX5113120J
2-41, 10.2, 0.172,MB250319V2007UKLX5113120J
2-42, 9.3, 0.161,MB250319V2007UKLX5113120J
2-43, 8.0, 0.141,MB250319V2007UKLX5113120J
2-44, 9.9, 0.168,MB250319V2007UKLX5113120J
2-45, 10.7, 0.191,MB250319V2007UKLX5113120J
2-46, 10.2, 0.175,MB250319V2007UKLX5113120J
2-47, 9.8, 0.171,MB250319V2007UKLX5113120J
2-48, 9.1, 0.161,MB250319V2007UKLX5113120J
2-49, 9.9, 0.174,MB250319V2007UKLX5113120J
2-50, 10.7, 0.187,MB250319V2007UKLX5113120J
2-51, 9.9, 0.172,MB250319V2007UKLX5113120J
2-52, 9.9, 0.170,MB250319V2007UKLX5113120J
2-53, 8.9, 0.153,MB250319V2007UKLX5113120J
2-54, 9.4, 0.163,MB250319V2007UKLX5113120J
2-55, 10.8, 0.187,MB250319V2007UKLX5113120J
2-56, 10.6, 0.187,MB250319V2007UKLX5113120J
2-57, 11.2, 0.193,MB250319V2007UKLX5113120J
2-58, 9.0, 0.162,MB250319V2007UKLX5113120J
2-59, 11.1, 0.197,MB250319V2007UKLX5113120J
2-60, 11.4, 0.201,MB250319V2007UKLX5113120J
2-61, 9.8, 0.167,MB250319V2007UKLX5113120J
2-62, 10.8, 0.190,MB250319V2007UKLX5113120J
2-63, 10.1, 0.176,MB250319V2007UKLX5113120J
2-64, 10.7, 0.191,MB250319V2007UKLX5113120J
2-65, 10.6, 0.185,MB250319V2007UKLX5113120J
2-66, 9.6, 0.162,MB250319V2007UKLX5113120J
2-67, 9.4, 0.158,MB250319V2007UKLX5113120J
2-68, 11.8, 0.205,MB250319V2007UKLX5113120J
2-69, 10.2, 0.185,MB250319V2007UKLX5113120J
2-70, 10.2, 0.184,MB250319V2007UKLX5113120J
2-71, 10.8, 0.188,MB250319V2007UKLX5113120J
2-72, 9.2, 0.153,MB250319V2007UKLX5113120J
2-73, 9.3, 0.161,MB250319V2007UKLX5113120J
2-74, 9.0, 0.153,MB250319V2007UKLX5113120J
2-75, 10.2, 0.161,MB250319V2007UKLX5113120J
2-76, 8.7, 0.138,MB250319V2007UKLX5113120J
2-77, 10.7, 0.170,MB250319V2007UKLX5113120J
2-78, 10.7, 0.176,MB250319V2007UKLX5113120J
3-1, 11.3, 0.176,MB250319V2007UKLX5215050J
3-2, 10.1, 0.165,MB250319V2007UKLX5215050J
3-3, 10.2, 0.167,MB250319V2007UKLX5215050J
3-4, 11.0, 0.177,MB250319V2007UKLX5215050J
3-5, 11.5, 0.186,MB250319V2007UKLX5215050J
3-6, 11.5, 0.180,MB250319V2007UKLX5215050J
3-7, 10.3, 0.165,MB250319V2007UKLX5215050J
3-8, 10.9, 0.175,MB250319V2007UKLX5215050J
3-9, 11.0, 0.175,MB250319V2007UKLX5215050J
3-10, 10.2, 0.164,MB250319V2007UKLX5215050J
3-11, 11.0, 0.178,MB250319V2007UKLX5215050J
3-12, 12.5, 0.195,MB250319V2007UKLX5215050J
3-13, 14.1, 0.227,MB250319V2007UKLX5215050J
3-14, 8.8, 0.148,MB250319V2007UKLX5215050J
3-15, 9.3, 0.162,MB250319V2007UKLX5215050J
3-16, 9.7, 0.169,MB250319V2007UKLX5215050J
3-17, 9.3, 0.157,MB250319V2007UKLX5215050J
3-18, 7.7, 0.128,MB250319V2007UKLX5215050J
3-19, 10.0, 0.174,MB250319V2007UKLX5215050J
3-20, 9.3, 0.164,MB250319V2007UKLX5215050J
3-21, 8.7, 0.150,MB250319V2007UKLX5215050J
3-22, 8.8, 0.150,MB250319V2007UKLX5215050J
