Software_Version,SN,Station_ID,Fixture_ID,Carrier_SN,KB_Type,Key_Number,Key_Name,Location,ERS_Category,Key_Type,Key_Size,Dome_Size,Operator,Test_Start_Time,Test_Stop_Time,Total_Test_Time,Slope_Before_Peak_Force_gf_mm,Peak_Force_gf,Peak_Travel_mm,Return_Peak_Force_gf,Return_Peak_Travel_gf,Hysterisis_g_g,Bottom_Force_gf,Bottom_Travel_mm,Return_Bottom_Force_gf,Return_Bottom_Travel_gf,Force_Drop_gf,Click_Ratio_pct,Slope_After_Peak_Force_gf_mm,Final_Slope_gf_mm,Back_Slope_gf_mm,Make_Force_gf,Make_Point_mm,Make_Pt_pct_Travel_pct,Drop_Stroke_Relative_to_Peak_Travel_gf,Travel_80gf_mm,Travel_160gf_mm,Travel_500_gf_mm,Area_Whole_Downstroke_gf_mm,Off_Force_gf,Off_Point_mm,OnBm_Force_g,On_Resit_ohm,Off_Resist_ohm,Ext_Force_gf_OK_NG,Key_Result_OK_NG,Slope_Before_Peak_Force_gf_mm_OK_NG,Peak_Force_gf_OK_NG,Peak_Travel_mm_OK_NG,Return_Peak_Force_gf_OK_NG,Return_Peak_Travel_gf_OK_NG,Hysterisis_g_g_OK_NG,Bottom_Force_gf_OK_NG,Bottom_Travel_mm_OK_NG,Return_Bottom_Force_gf_OK_NG,Return_Bottom_Travel_gf_OK_NG,Force_Drop_gf_OK_NG,Click_Ratio_pct_OK_NG,Slope_After_Peak_Force_gf_mm_OK_NG,Final_Slope_gf_mm_OK_NG,Back_Slope_gf_mm_OK_NG,Make_Force_gf_OK_NG,Make_Point_mm_OK_NG,Make_Pt_pct_Travel_pct_OK_NG,Drop_Stroke_Relative_to_Peak_Travel_gf_OK_NG,Travel_80gf_mm_OK_NG,Travel_160gf_mm_OK_NG,Travel_500gf_mm_OK_NG,Area_Whole_Downstroke_gf_mm_OK_NG,Off_Force_gf_OK_NG,Off_Point_mm_OK_NG,OnBm_Force_g_OK_NG,On_Resit_ohm_OK_NG,Off_Resist_ohm_OK_NG,Ext_Force_gf_OK_NG_1,Probe Speed,MO,Spec,VisionFlag,MakeErrCode,PF_MF,PF_MF_OK_NG,MT_PT,MT_PT_OK_NG,MakeForce_Return,MakeTravel_Return,MakeThres,MakeInterval,Make600,Make_Code,MF_MFAverage,MF_MFAverage_OKNG,MF_MFAverage_Large,MF_MFAverage_Large_OKNG,MF_MFAverage_Small,MF_MFAverage_Small_OKNG,MF_MFAverage_1x1,MF_MFAverage_1x1_OKNG,160T_PT,160T_PT_OKNG,PF_Hysteresis,PF_Hysteresis_OKNG,BF_Hysteresis,BF_Hysteresis_OKNG
3-0-46_1-0-0,MB240927V2148SS01LX50041101,IRI_JRS_30,Left,LEFT,X2143,1,ESC,M,,H,1x1.5,Large, ,2024-11-4 21:03,2024-11-4 21:03,8,284.9695,65.2633,0.238, , , ,24.7645,0.4748, , ,40.5,62.05,162.1238,1027.2604, ,32.3463,0.5772,75.94,0.4292,0.6672,0.76, , , , , , , ,NG,OK,OK,OK,OK, , , ,OK,OK, , ,OK,OK,OK,OK, ,OK,OK,OK,OK,OK,OK, , , , , , , , ,AA-10,,Type L center,0, ,32.917,OK,0.3392,OK, , ,396,396,600, ,38.2938,OK,37.2767,OK,56.8553,OK,37.6559,OK,0.522,OK,-184.7367,OK,-225.2355,OK
3-0-46_1-0-0,MB240927V2148SS01LX50041101,IRI_JRS_30,Left,LEFT,X2143,2,F1,M,,AF,1x1,Large, ,2024-11-4 21:03,2024-11-4 21:03,8,312.9008,71.1035,0.2368, , , ,30.4491,0.4548, , ,40.65,57.18,175.994,1010.8705, ,40.3809,0.5824,77.61,0.4195,0.6563,0.7504, , , , , , , ,0,OK,OK,OK,OK, , , ,OK,OK, , ,OK,OK,OK,OK, ,OK,OK,OK,OK,OK,OK, , , , , , , , ,AA-10,,Type L center,0, ,30.7226,OK,0.3456,OK, , ,405,405,600, ,38.2938,OK,37.2767,OK,56.8553,OK,37.6559,OK,0.5136,OK,-178.8965,OK,-219.5509,OK
3-0-46_1-0-0,MB240927V2148SS01LX50041101,IRI_JRS_30,Left,LEFT,X2143,3,F2,M,,AF,1x1,Large, ,2024-11-4 21:03,2024-11-4 21:03,8,295.2816,65.3144,0.2304, , , ,25.2323,0.4606, , ,40.08,61.37,164.8125,1050.7826, ,36.3015,0.5942,77.83,0.4419,0.6723,0.7634, , , , , , , ,,OK,OK,OK,OK, , , ,OK,OK, , ,OK,OK,OK,OK, ,OK,OK,OK,OK,OK,OK, , , , , , , , ,AA-10,,Type L center,0, ,29.0129,OK,0.3638,OK, , ,475,475,600, ,38.2938,OK,37.2767,OK,56.8553,OK,37.6559,OK,0.533,OK,-184.6856,OK,-224.7677,OK
3-0-46_1-0-0,MB240927V2148SS01LX50041101,IRI_JRS_30,Left,LEFT,X2143,4,F3,M,,AF,1x1,Large, ,2024-11-4 21:03,2024-11-4 21:03,8,309.8001,71.0049,0.2387, , , ,30.401,0.4503, , ,40.6,57.18,180.7818,1001.7923, ,39.6703,0.5755,76.41,0.4196,0.6584,0.7532, , , , , , , , ,OK,OK,OK,OK, , , ,OK,OK, , ,OK,OK,OK,OK, ,OK,OK,OK,OK,OK,OK, , , , , , , , ,AA-10,,Type L center,0, ,31.3347,OK,0.3368,OK, , ,432,432,600, ,38.2938,OK,37.2767,OK,56.8553,OK,37.6559,OK,0.5145,OK,-178.9951,OK,-219.599,OK
3-0-46_1-0-0,MB240927V2148SS01LX50041101,IRI_JRS_30,Left,LEFT,X2143,5,F4,M,,AF,1x1,Large, ,2024-11-4 21:03,2024-11-4 21:03,8,293.0429,64.7159,0.23, , , ,25.7482,0.4771, , ,38.97,60.21,149.8172,1077.7285, ,34.6196,0.5837,77.19,0.4369,0.6669,0.7562, , , , , , , , ,OK,OK,OK,OK, , , ,OK,OK, , ,OK,OK,OK,OK, ,OK,OK,OK,OK,OK,OK, , , , , , , , ,AA-10,,Type L center,0, ,30.0963,OK,0.3537,OK, , ,396,396,600, ,38.2938,OK,37.2767,OK,56.8553,OK,37.6559,OK,0.5261,OK,-185.2841,OK,-224.2518,OK
3-0-46_1-0-0,MB240927V2148SS01LX50041101,IRI_JRS_30,Left,LEFT,X2143,6,F5,M,,AF,1x1,Large, ,2024-11-4 21:03,2024-11-4 21:03,8,304.0558,69.1142,0.2367, , , ,28.9795,0.4534, , ,40.13,58.07,174.7281,1011.9925, ,36.7758,0.577,76.13,0.4271,0.6639,0.7579, , , , , , , , ,OK,OK,OK,OK, , , ,OK,OK, , ,OK,OK,OK,OK, ,OK,OK,OK,OK,OK,OK, , , , , , , , ,AA-10,,Type L center,0, ,32.3384,OK,0.3403,OK, , ,424,424,600, ,38.2938,OK,37.2767,OK,56.8553,OK,37.6559,OK,0.5212,OK,-180.8858,OK,-221.0205,OK
3-0-46_1-0-0,MB240927V2148SS01LX50041101,IRI_JRS_30,Left,LEFT,X2143,7,F6,M,,AF,1x1,Large, ,2024-11-4 21:03,2024-11-4 21:03,8,298.3076,67.2127,0.2346, , , ,27.0051,0.4559, , ,40.21,59.82,171.6082,981.2156, ,35.1553,0.5828,76.14,0.4343,0.669,0.7655, , , , , , , , ,OK,OK,OK,OK, , , ,OK,OK, , ,OK,OK,OK,OK, ,OK,OK,OK,OK,OK,OK, , , , , , , , ,AA-10,,Type L center,0, ,32.0573,OK,0.3482,OK, , ,550,550,600, ,38.2938,OK,37.2767,OK,56.8553,OK,37.6559,OK,0.5309,OK,-182.7873,OK,-222.9949,OK
3-0-46_1-0-0,MB240927V2148SS01LX50041101,IRI_JRS_30,Left,LEFT,X2143,8,F7,M,,AF,1x1,Large, ,2024-11-4 21:03,2024-11-4 21:03,8,307.5342,68.3932,0.2319, , , ,26.1944,0.4569, , ,42.2,61.7,177.307,990.11, ,37.2011,0.5973,77.74,0.4406,0.6725,0.7683, , , , , , , , ,OK,OK,OK,OK, , , ,OK,OK, , ,OK,OK,OK,OK, ,OK,OK,OK,OK,OK,OK, , , , , , , , ,AA-10,,Type L center,0, ,31.1922,OK,0.3654,OK, , ,396,396,600, ,38.2938,OK,37.2767,OK,56.8553,OK,37.6559,OK,0.5364,OK,-181.6068,OK,-223.8056,OK
3-0-46_1-0-0,MB240927V2148SS01LX50041101,IRI_JRS_30,Left,LEFT,X2143,9,F8,M,,AF,1x1,Large, ,2024-11-4 21:03,2024-11-4 21:03,8,301.9877,68.0759,0.2348, , , ,27.3531,0.4597, , ,40.72,59.82,171.1762,1004.9125, ,36.7681,0.5909,76.97,0.4383,0.6731,0.7677, , , , , , , , ,OK,OK,OK,OK, , , ,OK,OK, , ,OK,OK,OK,OK, ,OK,OK,OK,OK,OK,OK, , , , , , , , ,AA-10,,Type L center,0, ,31.3079,OK,0.3561,OK, , ,404,404,600, ,38.2938,OK,37.2767,OK,56.8553,OK,37.6559,OK,0.5329,OK,-181.9241,OK,-222.6469,OK
3-0-46_1-0-0,MB240927V2148SS01LX50041101,IRI_JRS_30,Left,LEFT,X2143,10,F9,M,,AF,1x1,Large, ,2024-11-4 21:03,2024-11-4 21:03,8,306.658,70.2466,0.2385, , , ,28.2103,0.4558, , ,42.04,59.84,182.6063,1032.1646, ,37.6456,0.5918,77.35,0.434,0.6725,0.765, , , , , , , , ,OK,OK,OK,OK, , , ,OK,OK, , ,OK,OK,OK,OK, ,OK,OK,OK,OK,OK,OK, , , , , , , , ,AA-10,,Type L center,0, ,32.6009,OK,0.3532,OK, , ,513,513,600, ,38.2938,OK,37.2767,OK,56.8553,OK,37.6559,OK,0.5265,OK,-179.7534,OK,-221.7897,OK
