Ðò,»úÖÖÐÍºÅ,²úÆ·S/NÌõÂë,Éú²úÈÕÆÚ,Éú²úÏßÌå,Ä£¾ß±àÂë,ÖÎ¾ß±àºÅ,°ó¶¨²ÄÁÏ(BR),°ó¶¨²ÄÁÏ(FR),¿Õ¸ñ¼ü,¿¾¼ÜºÅ,¿¾Ïä±àºÅ,Done X/Y 100%Õ¾,Peak forceÕ¾,ÏäºÅ
-1,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2358471J,2024-03-20 21:49:43,Line16,19009A06 19006B02,X1777US0282,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,184,¿¾ÏäL34,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323008400
1,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2358471J,2024-03-20 21:49:43,Line16,19009A06 19006B02,X1777US0282,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,184,¿¾ÏäL34,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323008400
2,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2032451J,2024-03-21 07:29:19,Line16,19009A06 19006B02,X1777US0169,BR19009A06IRID240207B320010,SR19006B02IRID231226A520010,BR19009A17IRID240122A840010,28,¿¾ÏäL18,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323008400
3,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2032751J,2024-03-21 07:37:48,Line16,19009A06 19006B02,X1777US0083,BR19009A06IRID240207B320010,SR19006B02IRID231226A520010,BR19009A17IRID240122A840010,28,¿¾ÏäL18,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323008400
4,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2033251J,2024-03-21 07:37:59,Line16,19009A06 19006B02,X1777US0001,BR19009A06IRID240207B320010,SR19006B02IRID231226A520010,BR19009A17IRID240122A840010,28,¿¾ÏäL18,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323008400
5,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2033271J,2024-03-21 07:38:29,Line16,19009A06 19006B02,X1777US0063,BR19009A06IRID240207B320010,SR19006B02IRID231226A520010,BR19009A17IRID240122A840010,28,¿¾ÏäL18,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323008400
6,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2033391J,2024-03-21 07:37:43,Line16,19009A06 19006B02,X1777US0167,BR19009A06IRID240207B320010,SR19006B02IRID231226A520010,BR19009A17IRID240122A840010,28,¿¾ÏäL18,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323008400
7,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2033461J,2024-03-21 07:37:54,Line16,19009A06 19006B02,X1777US0036,BR19009A06IRID240207B320010,SR19006B02IRID231226A520010,BR19009A17IRID240122A840010,28,¿¾ÏäL18,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323008400
8,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2033911J,2024-03-21 07:29:14,Line16,19009A06 19006B02,X1777US0081,BR19009A06IRID240207B320010,SR19006B02IRID231226A520010,BR19009A17IRID240122A840010,28,¿¾ÏäL18,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323008400
9,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2046961J,2024-03-21 07:30:06,Line16,19009A06 19006B02,X1777US0154,BR19009A06IRID240207B320010,SR19006B02IRID231226A520010,BR19009A17IRID240122A840010,28,¿¾ÏäL18,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323008400
10,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2077711J,2024-03-21 07:20:00,Line16,19009A06 19006B02,X1777US0083,BR19009A06IRID240207B320010,SR19006B02IRID231226A520010,BR19009A17IRID240122A840010,64,¿¾ÏäL19,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323008400
