Ðò,»úÖÖÐÍºÅ,²úÆ·S/NÌõÂë,Éú²úÈÕÆÚ,Éú²úÏßÌå,Ä£¾ß±àÂë,ÖÎ¾ß±àºÅ,°ó¶¨²ÄÁÏ(BR),°ó¶¨²ÄÁÏ(FR),¿Õ¸ñ¼ü,¿¾¼ÜºÅ,¿¾Ïä±àºÅ,Done X/Y 100%Õ¾,Peak forceÕ¾,ÏäºÅ
-1,RLK-ISO LLitech LY2 Black glue,MB231029V2007UKLY2062151J,2024-03-20 20:53:53,Line16,19009A06 19006B02,X1777US0071,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,122,¿¾ÏäL36,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
1,RLK-ISO LLitech LY2 Black glue,MB231029V2007UKLY2062151J,2024-03-20 20:53:53,Line16,19009A06 19006B02,X1777US0071,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,122,¿¾ÏäL36,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
2,RLK-ISO LLitech LY2 Black glue,MB231029V2007UKLY2175441J,2024-03-20 20:47:44,Line16,19009A06 19006B02,X1777US0122,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,122,¿¾ÏäL36,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
3,RLK-ISO LLitech LY2 Black glue,MB231029V2007UKLY2233321J,2024-03-20 20:53:38,Line16,19009A06 19006B02,X1777US0036,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,122,¿¾ÏäL36,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
4,RLK-ISO LLitech LY2 Black glue,MB231029V2007UKLY2274001J,2024-03-20 20:54:05,Line16,19009A06 19006B02,X1777US0263,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,122,¿¾ÏäL36,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
5,RLK-ISO LLitech LY2 Black glue,MB231029V2007UKLY2278131J,2024-03-20 20:50:02,Line16,19009A06 19006B02,X1777US0053,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,122,¿¾ÏäL36,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
6,RLK-ISO LLitech LY2 Black glue,MB231029V2007UKLY2289941J,2024-03-20 20:54:09,Line16,19009A06 19006B02,X1777US0122,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,122,¿¾ÏäL36,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
7,RLK-ISO LLitech LY2 Black glue,MB231029V2007UKLY2306101J,2024-03-21 00:12:19,Line16,19009A06 19006B02,X1777US0083,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,177,¿¾ÏäL31,AOI L21,Peak Force L21,RLK-ISO LLitech LY2 Black glueIRI240323010400
8,RLK-ISO LLitech LY2 Black glue,MB231029V2007UKLY2315891J,2024-03-20 20:47:54,Line16,19009A06 19006B02,X1777US0282,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,122,¿¾ÏäL36,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
9,RLK-ISO LLitech LY2 Black glue,MB231029V2007UKLY2322311J,2024-03-21 01:47:36,Line16,19009A06 19006B02,X1777US0065,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,194,¿¾ÏäL35,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
10,RLK-ISO LLitech LY2 Black glue,MB231029V2007UKLY2345201J,2024-03-20 20:53:48,Line16,19009A06 19006B02,X1777US0108,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,122,¿¾ÏäL36,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
11,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2000041J,2024-03-21 00:02:47,Line16,19009A06 19006B02,X1777US0298,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,177,¿¾ÏäL31,AOI L21,Peak Force L21,RLK-ISO LLitech LY2 Black glueIRI240323010400
12,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2000231J,2024-03-21 00:02:59,Line16,19009A06 19006B02,X1777US0047,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,177,¿¾ÏäL31,AOI L21,Peak Force L21,RLK-ISO LLitech LY2 Black glueIRI240323010400
13,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2000251J,2024-03-21 00:14:03,Line16,19009A06 19006B02,X1777US0154,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,177,¿¾ÏäL31,AOI L21,Peak Force L21,RLK-ISO LLitech LY2 Black glueIRI240323010400
14,RLK-ISO LLitech LY2 Black glue,MB231106V2007UKLY2000981J,2024-03-20 23:24:39,Line16,19009A06 19006B02,X1777US0212,BR19009A06IRID240218A440010,SR19006B02IRID231227B410010,BR19009A17IRID240122A840010,235,¿¾ÏäL32,AOI L09,Peak Force L07,RLK-ISO LLitech LY2 Black glueIRI240323010400
